"ILE";"Archipel"
"MATAIVA";"Tuamotu"
"TIKEHAU";"Tuamotu"
"RANGIROA";"Tuamotu"
"MAKATEA";"Tuamotu"
"NIAU";"Tuamotu"
"KAUKURA";"Tuamotu"
"ARUTUA";"Tuamotu"
"APATAKI";"Tuamotu"
"TOAU";"Tuamotu"
"ARATIKA";"Tuamotu"
"FAKARAVA";"Tuamotu"
"KAUEHI";"Tuamotu"
"RARAKA";"Tuamotu"
"FAAITE";"Tuamotu"
"KATIU";"Tuamotu"
"TAHANEA";"Tuamotu"
"HITI";"Tuamotu"
"MAKEMO";"Tuamotu"
"MANIHI";"Tuamotu"
"AHE";"Tuamotu"
"TAKAROA";"Tuamotu"
"TAKAPOTO";"Tuamotu"
"TIKEI";"Tuamotu"
"TAIARO";"Tuamotu"
"TEPOTO SUD";"Tuamotu"
"MOTUTUNGA";"Tuamotu"
"ANAA";"Tuamotu"
"TAENGA";"Tuamotu"
"TAKUME";"Tuamotu"
"RAROIA";"Tuamotu"
"NIHIRU";"Tuamotu"
"MARUTEA NORD";"Tuamotu"
"HARAIKI";"Tuamotu"
"REITORU";"Tuamotu"
"REKAREKA";"Tuamotu"
"TAUERE";"Tuamotu"
"TEKOKOTA";"Tuamotu"
"HIKUERU";"Tuamotu"
"MAROKAU";"Tuamotu"
"RAVAHERE";"Tuamotu"
"AMANU";"Tuamotu"
"HAO";"Tuamotu"
"NENGONENGO";"Tuamotu"
"NAPUKA";"Tuamotu"
"TEPOTO NORD";"Tuamotu"
"FANGATAU";"Tuamotu"
"FAKAHINA";"Tuamotu"
"PUKAPUKA";"Tuamotu"
"TATAKOTO";"Tuamotu"
"PUKARUA";"Tuamotu"
"REAO";"Tuamotu"
"MANUHANGI";"Tuamotu"
"PARAOA";"Tuamotu"
"VAIRAATEA";"Tuamotu"
"AHUNUI";"Tuamotu"
"NUKUTAVAKE";"Tuamotu"
"AKIAKI";"Tuamotu"
"PINAKI";"Tuamotu"
"VAHITAHI";"Tuamotu"
"HEREHERETUE";"Tuamotu"
"ANUANURUNGA";"Tuamotu"
"ANUANURARO";"Tuamotu"
"NUKUTEPIPI";"Tuamotu"
"TUANAKE";"Tuamotu"
"TEMATANGI";"Gambier"
"TUREIA";"Gambier"
"MORUROA";"Gambier"
"FANGATAUFA";"Gambier"
"VAHANGA";"Gambier"
"TENARUNGA";"Gambier"
"TENARARO";"Gambier"
"VANAVANA";"Gambier"
"MATUREI VAVAO";"Gambier"
"MARIA EST";"Gambier"
"MARUTEA SUD";"Gambier"
"TEMOE";"Gambier"
"MORANE";"Gambier"
"MANGAREVA";"Gambier"
"BANC PORTLAND";"Gambier"
"RECIF DE LA MINERVE";"Gambier"
"TAHITI";"Société"
"MOOREA";"Société"
"MAIAO";"Société"
"TETIAROA";"Société"
"MEHETIA";"Société"
"HUAHINE";"Société"
"RAIATEA-TAHAA";"Société"
"BORA BORA";"Société"
"TUPAI";"Société"
"MAUPITI";"Société"
"MAUPIHAA";"Société"
"MOTU ONE";"Société"
"MANUAE";"Société"
"MARIA";"Australes"
"RIMATARA";"Australes"
"RURUTU";"Australes"
"TUBUAI";"Australes"
"RAIVAVAE";"Australes"
"RAPA";"Australes"
"MAROTIRI";"Australes"
"BANC PRESIDENT THIERS";"Australes"
"BANC NEILSON";"Australes"
"BANC MAC DONALD";"Australes"
"RECIF ARAGO";"Australes"
"HATUTAA";"Marquises"
"EIAO";"Marquises"
"HATU ITI";"Marquises"
"NUKU HIVA";"Marquises"
"UA HUKA";"Marquises"
"UA POU";"Marquises"
"FATU HUKU";"Marquises"
"HIVA OA";"Marquises"
"FATU HIVA";"Marquises"
"TAHUATA";"Marquises"
"MOHOTANI";"Marquises"
"MOTUKUA";"Marquises"
"ROCHER THOMASSET";"Marquises"
"MOTU NAO";"Marquises"
"BANC LAWSON";"Marquises"
"BANC CLARK";"Marquises"
"MOTU ONE (MAR)";"Marquises"
